ENG_NAME,MODE,CO_EI,HC_EI,NOX_EI,SOX_EI,SMOKE_NUM,FUEL_KG/S,ICAO_UID,MODE_SN
CF6-6D,3,0.5,0.3,40,1,4,1.736,1GE001,4
CF6-6D,4,54.2,21,4.5,1,4,0.1728,1GE001,4
CF6-6D1A,1,5.5,0.6,11.8,1,3,0.494,1GE002,3
CF6-6D1A,2,0.5,0.3,33.9,1,3,1.502,1GE002,3
CF6-6D1A,3,0.5,0.3,41.6,1,4,1.812,1GE002,4
CF6-6D1A,4,52,19.9,4.6,1,4,0.176,1GE002,4
CF6-6K,1,6.5,0.7,11.4,1,3,0.4839,1GE003,3
CF6-6K,2,0.5,0.3,32.6,1,3,1.431,1GE003,3
CF6-6K,3,0.5,0.3,40,1,4,1.736,1GE003,4
CF6-6K,4,54.2,21,4.5,1,4,0.1728,1GE003,4
CF6-6K2,1,5.5,0.6,11.8,1,3,0.494,1GE004,3
CF6-6K2,2,0.5,0.3,33.9,1,3,1.502,1GE004,3
CF6-6K2,3,0.5,0.3,41.6,1,4,1.812,1GE004,4
CF6-6K2,4,52,19.9,4.6,1,4,0.176,1GE004,4
CF6-80A (A1),1,3.1,0.47,10.3,1,2,0.615,1GE010,2
CF6-80A (A1),2,1.1,0.29,25.6,1,10,1.795,1GE010,10
CF6-80A (A1),3,1,0.29,29.8,1,12,2.145,1GE010,12
CF6-80A (A1),4,28.2,6.29,3.4,1,2,0.15,1GE010,2
CF6-80A2,1,2.8,0.45,10.8,1,2,0.641,1GE012,2
CF6-80A2,2,1.1,0.37,26.6,1,10,1.885,1GE012,10
CF6-80A2,3,1,0.3,29.6,1,12,2.254,1GE012,12
CF6-80A2,4,28.2,6.28,3.4,1,2,0.15,1GE012,2
CF6-80A3,1,2.8,0.45,10.8,1,2,0.641,1GE013,2
CF6-80A3,2,1.1,0.37,26.6,1,10,1.885,1GE013,10
CF6-80A3,3,1,0.3,29.6,1,12,2.254,1GE013,12
CF6-80A3,4,28.2,6.28,3.4,1,2,0.15,1GE013,2
CF6-80C2A1,1,2.05,0.12,12.43,1,7,0.651,2GE036,0
CF6-80C2A1,2,0.04,0.05,20.45,1,4.7,1.989,2GE036,4.7
CF6-80C2A1,3,0.05,0.05,26.55,1,7,2.453,2GE036,7
CF6-80C2A1,4,19.76,1.59,4.68,1,7,0.201,2GE036,0
CF6-80C2A1 old comb,1,2.19,0.2,9.76,1,8.2,0.636,1GE014,2.29
CF6-80C2A1 old comb,2,0.54,0.09,24.85,1,8.2,1.953,1GE014,4.9
CF6-80C2A1 old comb,3,0.56,0.08,32.22,1,8.2,2.4,1GE014,8.2
CF6-80C2A1 old comb,4,42.24,9.19,3.99,1,8.2,0.199,1GE014,3.03
CF6-80C2A2,1,2.56,0.12,11.86,1,5.8,0.59,2GE037,0
CF6-80C2A2,2,0.05,0.05,18.37,1,3.2,1.771,2GE037,3.2
CF6-80C2A2,3,0.04,0.05,22.35,1,5.8,2.152,2GE037,5.8
CF6-80C2A2,4,21.97,1.9,4.49,1,5.8,0.192,2GE037,0
CF6-80C2A2 (revised),1,2.94,0.23,9.44,1,6.5,0.58,1GE016,2.35
CF6-80C2A2 (revised),2,0.55,0.1,20.69,1,6.5,1.745,1GE016,3.95
CF6-80C2A2 (revised),3,0.57,0.08,27.93,1,6.5,2.117,1GE016,6.5
CF6-80C2A2 (revised),4,46.01,10.48,3.95,1,6.5,0.189,1GE016,3.05
CF6-80C2A3,1,1.98,0.11,12.48,1,6.9,0.662,2GE038,0
CF6-80C2A3,2,0.04,0.05,21.05,1,5,2.041,2GE038,5
CF6-80C2A3,3,0.06,0.04,27.68,1,6.9,2.516,2GE038,6.9
CF6-80C2A3,4,19.32,1.54,4.72,1,6.9,0.203,2GE038,0
CF6-80C2A3 (revised),1,2.07,0.19,9.93,1,7.8,0.649,1GE018,2.28
CF6-80C2A3 (revised),2,0.56,0.08,25.46,1,7.8,2.003,1GE018,5.12
CF6-80C2A3 (revised),3,0.58,0.06,34.5,1,7.8,2.457,1GE018,7.8
CF6-80C2A3 (revised),4,41.51,8.94,3.92,1,7.8,0.202,1GE018,3.02
CF6-80C2A5,1,1.91,0.11,12.53,1,6.94,0.672,2GE039,0
